language	basic	np	Dist_D	Dist_N	Dist_A
Basque_2.6	SOV	NDA_	2	3	1
Basque_2.6	SOV	NDA_	2	3	1
Basque_2.6	SOV	NDA_	2	3	1
Basque_2.6	SOV	NDA_	2	3	1
Basque_2.6	SOV	DNA_	3	2	1
Basque_2.6	SOV	DNA_	3	2	1
Basque_2.6	SOV	DNA_	3	2	1
Basque_2.6	SOV	NDA_	2	3	1
Basque_2.6	SOV	DNA_	3	2	1
Belarusian_2.6	SVO	A_ND	2	1	1
Belarusian_2.6	SVO	DA_N	2	1	1
Belarusian_2.6	SOV	NA_D	1	2	1
Breton_2.6	OSV	A_ND	2	1	1
Breton_2.6	SOV	ADN_	2	1	3
Breton_2.6	OSV	ADN_	2	1	3
Breton_2.6	SOV	DAN_	3	1	2
Breton_2.6	OSV	ADN_	2	1	3
Breton_2.6	SVO	A_ND	2	1	1
Bulgarian_2.6	SOV	NDA_	2	3	1
Bulgarian_2.6	OSV	NDA_	2	3	1
Bulgarian_2.6	SOV	NDA_	2	3	1
Bulgarian_2.6	SOV	NAD_	1	3	2
Bulgarian_2.6	OSV	NDA_	2	3	1
Bulgarian_2.6	SOV	NDA_	2	3	1
Bulgarian_2.6	SOV	NAD_	1	3	2
Bulgarian_2.6	SOV	NDA_	2	3	1
Bulgarian_2.6	SOV	NA_D	1	2	1
Bulgarian_2.6	SOV	NDA_	2	3	1
Buryat_2.6	SOV	DA_N	2	1	1
Buryat_2.6	SOV	NDA_	2	3	1
Buryat_2.6	SOV	DAN_	3	1	2
Buryat_2.6	SOV	NDA_	2	3	1
Cantonese_2.6	SOV	DNA_	3	2	1
Cantonese_2.6	SOV	ADN_	2	1	3
Catalan_2.6	SOV	A_DN	1	2	1
Catalan_2.6	SOV	NA_D	1	2	1
Catalan_2.6	SOV	A_ND	2	1	1
Catalan_2.6	SOV	A_DN	1	2	1
Catalan_2.6	SOV	A_DN	1	2	1
Catalan_2.6	SOV	A_DN	1	2	1
Catalan_2.6	SOV	A_DN	1	2	1
Catalan_2.6	SOV	A_DN	1	2	1
Catalan_2.6	SOV	NA_D	1	2	1
Catalan_2.6	SOV	A_DN	1	2	1
Catalan_2.6	SOV	A_DN	1	2	1
Catalan_2.6	SOV	A_DN	1	2	1
Chinese_2.6	SOV	DNA_	3	2	1
Chinese_2.6	SOV	A_ND	2	1	1
Chinese_2.6	SOV	DA_N	2	1	1
Chinese_2.6	SOV	A_ND	2	1	1
Chinese_2.6	SOV	A_ND	2	1	1
Chinese_2.6	SOV	A_ND	2	1	1
Chinese_2.6	SOV	A_ND	2	1	1
Chinese_2.6	SOV	DAN_	3	1	2
Chinese_2.6	SOV	A_ND	2	1	1
Chinese_2.6	SOV	DA_N	2	1	1
Classical_Chinese_2.6	SOV	A_ND	2	1	1
Classical_Chinese_2.6	SOV	A_ND	2	1	1
Classical_Chinese_2.6	SOV	A_ND	2	1	1
Classical_Chinese_2.6	SOV	A_ND	2	1	1
Classical_Chinese_2.6	SOV	DAN_	3	1	2
Classical_Chinese_2.6	SOV	DAN_	3	1	2
Classical_Chinese_2.6	SOV	A_ND	2	1	1
Classical_Chinese_2.6	SOV	A_ND	2	1	1
Classical_Chinese_2.6	SOV	DAN_	3	1	2
Classical_Chinese_2.6	SOV	DA_N	2	1	1
Classical_Chinese_2.6	SOV	DAN_	3	1	2
Classical_Chinese_2.6	SOV	A_ND	2	1	1
Classical_Chinese_2.6	SOV	DAN_	3	1	2
Classical_Chinese_2.6	SOV	DAN_	3	1	2
Classical_Chinese_2.6	SOV	A_ND	2	1	1
Classical_Chinese_2.6	SOV	DA_N	2	1	1
Coptic_2.6	SOV	AN_D	1	1	2
Coptic_2.6	SVO	NA_D	1	2	1
Coptic_2.6	SVO	NA_D	1	2	1
Coptic_2.6	SVO	AD_N	1	1	2
Coptic_2.6	SVO	NAD_	1	3	2
Coptic_2.6	SVO	AD_N	1	1	2
Coptic_2.6	SOV	A_DN	1	2	1
Coptic_2.6	SVO	AD_N	1	1	2
Coptic_2.6	SOV	AD_N	1	1	2
Croatian_2.6	OSV	NAD_	1	3	2
Croatian_2.6	SOV	DNA_	3	2	1
Croatian_2.6	OSV	DNA_	3	2	1
Croatian_2.6	SOV	A_ND	2	1	1
Croatian_2.6	SOV	NA_D	1	2	1
Croatian_2.6	SOV	NDA_	2	3	1
Croatian_2.6	SOV	NDA_	2	3	1
Danish_2.6	SOV	ADN_	2	1	3
Danish_2.6	SOV	DAN_	3	1	2
Danish_2.6	SOV	DAN_	3	1	2
Danish_2.6	SOV	ADN_	2	1	3
Danish_2.6	SVO	ADN_	2	1	3
Danish_2.6	SVO	AN_D	1	1	2
Danish_2.6	SVO	AN_D	1	1	2
Danish_2.6	SVO	DAN_	3	1	2
Danish_2.6	OSV	A_ND	2	1	1
Danish_2.6	SVO	NDA_	2	3	1
Danish_2.6	SOV	AD_N	1	1	2
Dutch_2.6	OSV	NA_D	1	2	1
Dutch_2.6	SVO	NA_D	1	2	1
Dutch_2.6	SOV	NA_D	1	2	1
Dutch_2.6	SVO	NA_D	1	2	1
Dutch_2.6	OSV	NA_D	1	2	1
Dutch_2.6	SOV	NA_D	1	2	1
Dutch_2.6	SOV	A_ND	2	1	1
English_2.6	SVO	A_ND	2	1	1
English_2.6	SVO	AN_D	1	1	2
English_2.6	SVO	AN_D	1	1	2
English_2.6	SVO	AN_D	1	1	2
English_2.6	SVO	AN_D	1	1	2
English_2.6	SVO	AN_D	1	1	2
English_2.6	SVO	A_ND	2	1	1
English_2.6	SVO	AN_D	1	1	2
English_2.6	SVO	AN_D	1	1	2
English_2.6	SVO	A_ND	2	1	1
Erzya_2.6	SVO	A_ND	2	1	1
Erzya_2.6	SOV	NAD_	1	3	2
Estonian_2.6	OSV	ADN_	2	1	3
Estonian_2.6	SOV	NDA_	2	3	1
Estonian_2.6	SOV	NDA_	2	3	1
Estonian_2.6	SOV	DNA_	3	2	1
Estonian_2.6	SOV	NDA_	2	3	1
Faroese_2.6	SOV	DAN_	3	1	2
Faroese_2.6	SOV	NA_D	1	2	1
Faroese_2.6	SOV	AN_D	1	1	2
Faroese_2.7	SVO	A_DN	1	2	1
Faroese_2.7	OSV	ADN_	2	1	3
Faroese_2.7	SVO	A_DN	1	2	1
Faroese_2.7	OSV	A_ND	2	1	1
Faroese_2.7	SVO	DA_N	2	1	1
Faroese_2.7	SVO	DAN_	3	1	2
Faroese_2.7	SOV	NDA_	2	3	1
Finnish_2.6	SOV	DAN_	3	1	2
Finnish_2.6	SOV	DAN_	3	1	2
Finnish_2.6	SOV	DAN_	3	1	2
Finnish_2.6	SOV	DAN_	3	1	2
Finnish_2.6	SOV	DAN_	3	1	2
Finnish_2.6	SOV	DAN_	3	1	2
Finnish_2.6	SOV	DNA_	3	2	1
Finnish_2.6	OSV	NAD_	1	3	2
Finnish_2.6	SOV	DNA_	3	2	1
Finnish_2.6	SOV	DNA_	3	2	1
French-Spoken_2.6	SVO	DAN_	3	1	2
French-Spoken_2.6	SVO	DAN_	3	1	2
French_2.6	OSV	A_ND	2	1	1
French_2.6	SVO	A_ND	2	1	1
French_2.6	SVO	NA_D	1	2	1
French_2.6	SVO	A_ND	2	1	1
French_2.6	OSV	A_ND	2	1	1
French_2.6	SVO	NA_D	1	2	1
French_2.6	SVO	A_ND	2	1	1
French_2.6	SVO	AN_D	1	1	2
French_2.6	SVO	A_ND	2	1	1
French_2.6	SVO	A_ND	2	1	1
Galician_2.6	SOV	A_ND	2	1	1
Galician_2.6	SOV	A_ND	2	1	1
Galician_2.6	SOV	A_ND	2	1	1
Galician_2.6	OSV	A_DN	1	2	1
Galician_2.6	SVO	A_DN	1	2	1
Galician_2.6	OSV	A_DN	1	2	1
Galician_2.6	SVO	A_DN	1	2	1
Galician_2.6	SOV	A_DN	1	2	1
Galician_2.6	SVO	A_DN	1	2	1
German-GSD_2.6	SVO	NA_D	1	2	1
German-GSD_2.6	SOV	AN_D	1	1	2
German-GSD_2.6	SVO	AN_D	1	1	2
German-GSD_2.6	SVO	AN_D	1	1	2
German-GSD_2.6	SVO	AN_D	1	1	2
German-GSD_2.6	SVO	AN_D	1	1	2
German-GSD_2.6	OSV	AN_D	1	1	2
German-GSD_2.6	OSV	AN_D	1	1	2
German-GSD_2.6	OSV	AN_D	1	1	2
German-GSD_2.6	OSV	NA_D	1	2	1
German-GSD_2.6	SOV	AN_D	1	1	2
Gothic_2.6	SVO	A_DN	1	2	1
Gothic_2.6	SOV	NDA_	2	3	1
Gothic_2.6	SOV	NDA_	2	3	1
Gothic_2.6	SVO	DA_N	2	1	1
Gothic_2.6	SVO	DA_N	2	1	1
Gothic_2.6	SVO	NDA_	2	3	1
Gothic_2.6	SVO	DAN_	3	1	2
Gothic_2.6	SVO	DAN_	3	1	2
Gothic_2.6	OSV	DA_N	2	1	1
Gothic_2.6	SOV	DA_N	2	1	1
Gothic_2.6	SVO	DA_N	2	1	1
Gothic_2.6	SOV	DA_N	2	1	1
Gothic_2.6	OSV	DA_N	2	1	1
Greek_2.6	SVO	NA_D	1	2	1
Greek_2.6	SOV	NA_D	1	2	1
Greek_2.6	SOV	NA_D	1	2	1
Greek_2.6	SOV	NA_D	1	2	1
Greek_2.6	SVO	NA_D	1	2	1
Greek_2.6	SOV	NA_D	1	2	1
Hebrew_2.6	SVO	NA_D	1	2	1
Hebrew_2.6	SVO	DA_N	2	1	1
Hebrew_2.6	SOV	AN_D	1	1	2
Hebrew_2.6	SOV	NA_D	1	2	1
Hebrew_2.6	SOV	ADN_	2	1	3
Hebrew_2.6	SVO	AN_D	1	1	2
Hebrew_2.6	SOV	DA_N	2	1	1
Hebrew_2.6	SOV	ADN_	2	1	3
Hebrew_2.6	SOV	DAN_	3	1	2
Hebrew_2.6	SOV	DNA_	3	2	1
Hindi_2.6	SOV	DNA_	3	2	1
Hindi_2.6	SOV	DNA_	3	2	1
Hindi_2.6	SOV	DNA_	3	2	1
Hindi_2.6	SOV	DNA_	3	2	1
Hindi_2.6	SOV	DNA_	3	2	1
Hindi_2.6	SOV	DNA_	3	2	1
Hindi_2.6	SOV	DNA_	3	2	1
Hindi_2.6	SOV	DNA_	3	2	1
Hindi_2.6	SOV	DNA_	3	2	1
Hindi_2.6	SOV	DNA_	3	2	1
Hindi_2.6	SOV	DNA_	3	2	1
Hindi_2.6	SOV	DNA_	3	2	1
Hindi_2.6	SOV	DNA_	3	2	1
Hindi_2.6	SOV	DNA_	3	2	1
Hindi_2.6	SOV	DNA_	3	2	1
Hindi_2.6	SOV	DNA_	3	2	1
Hungarian_2.6	SOV	DA_N	2	1	1
Hungarian_2.6	SOV	DA_N	2	1	1
Hungarian_2.6	SOV	DNA_	3	2	1
Hungarian_2.6	SOV	DA_N	2	1	1
Hungarian_2.6	SOV	DA_N	2	1	1
Hungarian_2.6	SOV	DAN_	3	1	2
Hungarian_2.6	SOV	ADN_	2	1	3
Hungarian_2.6	SOV	DA_N	2	1	1
Hungarian_2.6	OSV	DAN_	3	1	2
Icelandic_2.7	OSV	ADN_	2	1	3
Icelandic_2.7	SVO	ADN_	2	1	3
Icelandic_2.7	SVO	DA_N	2	1	1
Indonesian_2.6	SOV	NDA_	2	3	1
Indonesian_2.6	SOV	NDA_	2	3	1
Indonesian_2.6	SOV	NDA_	2	3	1
Indonesian_2.6	SOV	DAN_	3	1	2
Indonesian_2.6	SOV	NDA_	2	3	1
Indonesian_2.6	SOV	DNA_	3	2	1
Indonesian_2.6	SOV	DAN_	3	1	2
Indonesian_2.6	SOV	DAN_	3	1	2
Indonesian_2.6	SOV	DAN_	3	1	2
Indonesian_2.6	SOV	DAN_	3	1	2
Indonesian_2.6	SOV	DAN_	3	1	2
Indonesian_2.6	SOV	DAN_	3	1	2
Indonesian_2.6	SOV	DAN_	3	1	2
Indonesian_2.6	OSV	NDA_	2	3	1
Indonesian_2.6	SOV	DAN_	3	1	2
Indonesian_2.6	SOV	DAN_	3	1	2
Irish_2.6	SVO	NDA_	2	3	1
Irish_2.6	OSV	A_DN	1	2	1
Irish_2.6	OSV	NDA_	2	3	1
Irish_2.6	OSV	A_DN	1	2	1
Irish_2.6	SVO	NA_D	1	2	1
Irish_2.6	OSV	NA_D	1	2	1
Irish_2.6	OSV	A_DN	1	2	1
Irish_2.6	OSV	AN_D	1	1	2
Irish_2.6	SOV	A_DN	1	2	1
Irish_2.6	SOV	AND_	1	2	3
Irish_2.6	OSV	AN_D	1	1	2
Irish_2.6	SOV	AD_N	1	1	2
Irish_2.6	OSV	DAN_	3	1	2
Irish_2.6	SOV	NA_D	1	2	1
Irish_2.6	SOV	AD_N	1	1	2
Irish_2.6	OSV	A_DN	1	2	1
Irish_2.6	OSV	AN_D	1	1	2
Irish_2.6	OSV	AD_N	1	1	2
Italian_2.6	SVO	AN_D	1	1	2
Italian_2.6	OSV	AN_D	1	1	2
Italian_2.6	OSV	AN_D	1	1	2
Italian_2.6	OSV	AN_D	1	1	2
Italian_2.6	OSV	AN_D	1	1	2
Italian_2.6	SVO	NA_D	1	2	1
Italian_2.6	SVO	AN_D	1	1	2
Italian_2.6	OSV	AD_N	1	1	2
Italian_2.6	OSV	NA_D	1	2	1
Italian_2.6	OSV	NA_D	1	2	1
Italian_2.6	OSV	NA_D	1	2	1
Italian_2.6	SOV	NA_D	1	2	1
Italian_2.6	OSV	NA_D	1	2	1
Italian_2.6	SOV	A_DN	1	2	1
Italian_2.6	SOV	NA_D	1	2	1
Japanese-GSD_2.6	SOV	DAN_	3	1	2
Japanese-GSD_2.6	SOV	DAN_	3	1	2
Japanese-GSD_2.6	SOV	DA_N	2	1	1
Japanese-GSD_2.6	SOV	DAN_	3	1	2
Japanese-GSD_2.6	SOV	DAN_	3	1	2
Japanese-GSD_2.6	SOV	DAN_	3	1	2
Japanese-GSD_2.6	SOV	DAN_	3	1	2
Japanese-GSD_2.6	SOV	DAN_	3	1	2
Japanese-GSD_2.6	SOV	DAN_	3	1	2
Japanese-GSD_2.6	SOV	ADN_	2	1	3
Japanese-GSD_2.6	SOV	DAN_	3	1	2
Japanese-GSD_2.6	SOV	DAN_	3	1	2
Japanese-GSD_2.6	SVO	NAD_	1	3	2
Japanese-GSD_2.6	SOV	DAN_	3	1	2
Kazakh_2.6	SOV	DNA_	3	2	1
Kazakh_2.6	SOV	DAN_	3	1	2
Kazakh_2.6	SOV	DAN_	3	1	2
Kazakh_2.6	OSV	A_DN	1	2	1
Kazakh_2.6	SOV	DAN_	3	1	2
Kazakh_2.6	SOV	DAN_	3	1	2
Kazakh_2.6	OSV	AD_N	1	1	2
Kazakh_2.6	OSV	A_ND	2	1	1
Korean_2.6	SOV	NAD_	1	3	2
Korean_2.6	SOV	NAD_	1	3	2
Korean_2.6	SOV	AND_	1	2	3
Korean_2.6	SOV	NAD_	1	3	2
Korean_2.6	SOV	AND_	1	2	3
Korean_2.6	SOV	AND_	1	2	3
Korean_2.6	SOV	DAN_	3	1	2
Korean_2.6	SOV	DAN_	3	1	2
Korean_2.6	SOV	DAN_	3	1	2
Korean_2.6	SOV	DAN_	3	1	2
Korean_2.6	SOV	DAN_	3	1	2
Kurmanji_2.6	OSV	A_DN	1	2	1
Kurmanji_2.6	OSV	A_ND	2	1	1
Kurmanji_2.6	SVO	A_DN	1	2	1
Latin_2.6	OSV	AND_	1	2	3
Latin_2.6	OSV	AND_	1	2	3
Latin_2.6	OSV	DAN_	3	1	2
Latin_2.6	OSV	AND_	1	2	3
Latin_2.6	SVO	DA_N	2	1	1
Latin_2.6	OSV	AND_	1	2	3
Latin_2.6	SOV	NDA_	2	3	1
Latin_2.6	SOV	NDA_	2	3	1
Latin_2.6	SVO	NDA_	2	3	1
Latin_2.6	SVO	AND_	1	2	3
Latvian_2.6	SVO	NAD_	1	3	2
Latvian_2.6	SVO	A_DN	1	2	1
Latvian_2.6	SOV	NDA_	2	3	1
Latvian_2.6	SVO	NA_D	1	2	1
Latvian_2.6	SVO	NA_D	1	2	1
Latvian_2.6	SVO	NA_D	1	2	1
Latvian_2.6	SVO	NA_D	1	2	1
Latvian_2.6	SVO	NA_D	1	2	1
Latvian_2.6	SVO	AN_D	1	1	2
Lithuanian_2.6	SOV	DA_N	2	1	1
Lithuanian_2.6	SVO	NDA_	2	3	1
Lithuanian_2.6	SVO	DA_N	2	1	1
Maltese_2.6	SVO	NA_D	1	2	1
Maltese_2.6	SOV	DA_N	2	1	1
Maltese_2.6	SOV	NA_D	1	2	1
Maltese_2.6	OSV	A_ND	2	1	1
Maltese_2.6	OSV	DA_N	2	1	1
Mbya_Guarani_2.6	SVO	NDA_	2	3	1
Mbya_Guarani_2.6	SVO	DNA_	3	2	1
Mbya_Guarani_2.6	SOV	AND_	1	2	3
Mbya_Guarani_2.6	SVO	A_DN	1	2	1
Mbya_Guarani_2.6	SVO	ADN_	2	1	3
Naija_2.6	SVO	ADN_	2	1	3
Naija_2.6	SVO	NDA_	2	3	1
Naija_2.6	SVO	NDA_	2	3	1
Naija_2.6	SVO	DAN_	3	1	2
Naija_2.6	SVO	DAN_	3	1	2
Naija_2.6	SVO	AN_D	1	1	2
Naija_2.6	SOV	DAN_	3	1	2
Naija_2.6	SVO	DAN_	3	1	2
Naija_2.6	SVO	ADN_	2	1	3
Naija_2.6	SVO	DAN_	3	1	2
Naija_2.6	SVO	DAN_	3	1	2
Naija_2.6	SVO	DAN_	3	1	2
Naija_2.6	SVO	DAN_	3	1	2
Naija_2.6	SVO	DAN_	3	1	2
Naija_2.6	SVO	DAN_	3	1	2
Naija_2.6	SVO	DAN_	3	1	2
North_Sami_2.6	SOV	NAD_	1	3	2
North_Sami_2.6	SVO	DNA_	3	2	1
North_Sami_2.6	SOV	NA_D	1	2	1
North_Sami_2.6	SVO	NA_D	1	2	1
North_Sami_2.6	SOV	NA_D	1	2	1
Norwegian_2.6	SOV	ADN_	2	1	3
Norwegian_2.6	SOV	ADN_	2	1	3
Norwegian_2.6	SVO	AND_	1	2	3
Norwegian_2.6	SVO	ADN_	2	1	3
Norwegian_2.6	SOV	ADN_	2	1	3
Norwegian_2.6	SOV	ADN_	2	1	3
Norwegian_2.6	SVO	NAD_	1	3	2
Norwegian_2.6	SVO	NAD_	1	3	2
Norwegian_2.6	SVO	NAD_	1	3	2
Norwegian_2.6	SVO	ADN_	2	1	3
Norwegian_2.6	SVO	NAD_	1	3	2
Norwegian_2.6	SVO	NAD_	1	3	2
Old_Church_Slavonic_2.6	SOV	AD_N	1	1	2
Old_Church_Slavonic_2.6	SOV	ADN_	2	1	3
Old_Church_Slavonic_2.6	SOV	ADN_	2	1	3
Old_Church_Slavonic_2.6	SOV	AD_N	1	1	2
Old_Church_Slavonic_2.6	SVO	AD_N	1	1	2
Old_Church_Slavonic_2.6	SOV	AD_N	1	1	2
Old_Church_Slavonic_2.6	SOV	NDA_	2	3	1
Old_Church_Slavonic_2.6	SOV	ADN_	2	1	3
Old_Church_Slavonic_2.6	SVO	DA_N	2	1	1
Old_Church_Slavonic_2.6	SOV	DAN_	3	1	2
Old_Church_Slavonic_2.6	SOV	DAN_	3	1	2
Old_Church_Slavonic_2.6	SOV	NDA_	2	3	1
Old_French_2.6	SOV	AN_D	1	1	2
Old_French_2.6	OSV	DAN_	3	1	2
Old_French_2.6	SOV	ADN_	2	1	3
Old_French_2.6	SOV	AN_D	1	1	2
Old_French_2.6	OSV	AN_D	1	1	2
Old_French_2.6	OSV	DAN_	3	1	2
Old_Russian_2.6	SOV	NAD_	1	3	2
Old_Russian_2.6	SOV	A_DN	1	2	1
Old_Russian_2.6	SOV	DNA_	3	2	1
Old_Russian_2.6	SOV	AN_D	1	1	2
Old_Russian_2.6	SOV	A_ND	2	1	1
Old_Russian_2.6	SOV	AN_D	1	1	2
Old_Russian_2.6	SOV	DNA_	3	2	1
Persian_2.6	SOV	DNA_	3	2	1
Persian_2.6	SOV	DNA_	3	2	1
Persian_2.6	SOV	DNA_	3	2	1
Persian_2.6	OSV	DA_N	2	1	1
Persian_2.6	SOV	DNA_	3	2	1
Persian_2.6	SOV	DNA_	3	2	1
Persian_2.6	SOV	DNA_	3	2	1
Persian_2.6	SOV	DNA_	3	2	1
Persian_2.6	SOV	DNA_	3	2	1
Persian_2.6	SOV	DNA_	3	2	1
Persian_2.6	SOV	DNA_	3	2	1
Persian_2.6	SOV	A_ND	2	1	1
Persian_2.6	SOV	NA_D	1	2	1
Persian_2.7	SOV	DNA_	3	2	1
Persian_2.7	SOV	DNA_	3	2	1
Persian_2.7	SOV	DNA_	3	2	1
Persian_2.7	SOV	DNA_	3	2	1
Persian_2.7	SOV	DAN_	3	1	2
Persian_2.7	SOV	DAN_	3	1	2
Persian_2.7	SOV	DNA_	3	2	1
Polish_2.6	OSV	DAN_	3	1	2
Polish_2.6	SOV	DAN_	3	1	2
Polish_2.6	SOV	DAN_	3	1	2
Polish_2.6	SOV	DAN_	3	1	2
Polish_2.6	SOV	DAN_	3	1	2
Polish_2.6	SOV	DAN_	3	1	2
Polish_2.6	SOV	AND_	1	2	3
Portuguese_2.6	SVO	NA_D	1	2	1
Portuguese_2.6	OSV	NA_D	1	2	1
Portuguese_2.6	OSV	NA_D	1	2	1
Portuguese_2.6	OSV	NA_D	1	2	1
Portuguese_2.6	SOV	A_DN	1	2	1
Portuguese_2.6	OSV	NA_D	1	2	1
Portuguese_2.6	OSV	NA_D	1	2	1
Portuguese_2.6	OSV	NA_D	1	2	1
Portuguese_2.6	SOV	A_ND	2	1	1
Portuguese_2.6	OSV	NA_D	1	2	1
Portuguese_2.6	OSV	NA_D	1	2	1
Portuguese_2.6	OSV	NA_D	1	2	1
Portuguese_2.6	SOV	NA_D	1	2	1
Portuguese_2.6	SOV	A_ND	2	1	1
Portuguese_2.6	OSV	NA_D	1	2	1
Portuguese_2.6	OSV	NA_D	1	2	1
Portuguese_2.6	SOV	A_ND	2	1	1
Portuguese_2.6	SOV	NA_D	1	2	1
Romanian_2.6	SOV	NA_D	1	2	1
Romanian_2.6	SOV	NA_D	1	2	1
Romanian_2.6	SOV	NA_D	1	2	1
Romanian_2.6	SOV	NA_D	1	2	1
Romanian_2.6	SOV	NA_D	1	2	1
Romanian_2.6	SOV	NA_D	1	2	1
Romanian_2.6	SOV	NA_D	1	2	1
Romanian_2.6	SVO	NA_D	1	2	1
Romanian_2.6	SOV	NA_D	1	2	1
Romanian_2.6	SOV	A_ND	2	1	1
Romanian_2.6	SOV	NA_D	1	2	1
Romanian_2.6	SOV	NA_D	1	2	1
Russian_2.6	OSV	NAD_	1	3	2
Russian_2.6	SVO	ADN_	2	1	3
Russian_2.6	SVO	DNA_	3	2	1
Russian_2.6	SVO	ADN_	2	1	3
Russian_2.6	SVO	DNA_	3	2	1
Russian_2.6	SVO	NAD_	1	3	2
Russian_2.6	SVO	ADN_	2	1	3
Russian_2.6	SVO	NDA_	2	3	1
Russian_2.6	SVO	DNA_	3	2	1
Russian_2.6	SVO	DNA_	3	2	1
Russian_2.6	SVO	DAN_	3	1	2
Sanskrit_2.6	OSV	NDA_	2	3	1
Sanskrit_2.6	SVO	AD_N	1	1	2
Scottish_Gaelic_2.6	SOV	NA_D	1	2	1
Scottish_Gaelic_2.6	SOV	AN_D	1	1	2
Scottish_Gaelic_2.6	OSV	AN_D	1	1	2
Scottish_Gaelic_2.6	OSV	DA_N	2	1	1
Scottish_Gaelic_2.6	OSV	AN_D	1	1	2
Scottish_Gaelic_2.6	OSV	DNA_	3	2	1
Scottish_Gaelic_2.6	OSV	A_ND	2	1	1
Scottish_Gaelic_2.6	SVO	AN_D	1	1	2
Scottish_Gaelic_2.6	SVO	A_DN	1	2	1
Scottish_Gaelic_2.6	OSV	AN_D	1	1	2
Scottish_Gaelic_2.6	SVO	NA_D	1	2	1
Scottish_Gaelic_2.6	OSV	NDA_	2	3	1
Scottish_Gaelic_2.6	OSV	AN_D	1	1	2
Serbian_2.6	SOV	DNA_	3	2	1
Serbian_2.6	SOV	DNA_	3	2	1
Serbian_2.6	SOV	DNA_	3	2	1
Serbian_2.6	OSV	A_ND	2	1	1
Serbian_2.6	SVO	NA_D	1	2	1
Serbian_2.6	SOV	A_DN	1	2	1
Serbian_2.6	OSV	A_ND	2	1	1
Serbian_2.6	OSV	A_ND	2	1	1
Slovak_2.6	OSV	DA_N	2	1	1
Slovak_2.6	OSV	NA_D	1	2	1
Slovak_2.6	OSV	DNA_	3	2	1
Slovak_2.6	OSV	DA_N	2	1	1
Slovak_2.6	OSV	DA_N	2	1	1
Slovak_2.6	OSV	NA_D	1	2	1
Slovak_2.6	SVO	NDA_	2	3	1
Slovak_2.6	SVO	NA_D	1	2	1
Slovak_2.6	SVO	DA_N	2	1	1
Slovak_2.6	SOV	NA_D	1	2	1
Slovak_2.6	OSV	NA_D	1	2	1
Slovak_2.6	OSV	NA_D	1	2	1
Slovak_2.6	SOV	NDA_	2	3	1
