Wolof_2.8	REAL	6.67615833577_5.92541027237	2.54430929626
Danish_2.8	REAL	REAL	7.5946802527_7.11884667664	2.67364212339
Dutch_2.8	REAL	REAL	7.57654997276_6.84005234038	2.89716410523
Kurmanji_2.8	REAL	REAL	6.86169993023_6.49043387146	2.740245533
Icelandic_2.8	REAL	REAL	7.58745292127_6.77887118191	2.95648723781
Estonian_2.8	REAL	REAL	9.16136152662_8.703674735	2.46693241904
Urdu_2.8	REAL	REAL	7.13773334847_5.70276518189	3.46245614592
Old_Church_Slavonic_2.8	REAL	REAL	7.14355858817_6.29015500899	2.47994143485
Basque_2.8	REAL	REAL	8.45484310813_7.97056721267	2.30460557804
Upper_Sorbian_2.8	REAL	REAL	7.7165899812_7.48528341324	2.75940907492
Wolof_2.8	REAL	REAL	6.67615833577_5.92541027237	2.54430929626
Old_French_2.8	REAL	REAL	7.05139088845_6.15895054727	2.45113091427
Buryat_2.8	REAL	REAL	8.12523578009_7.84578105178	2.20850202429
Galician_2.8	REAL	REAL	6.9042382318_6.2421390249	2.60110814922
Hebrew_2.8	REAL	REAL	7.14094557019_6.40077117775	2.58820006427
